GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,TEAM_ELO,OPP_TEAM_ELO
0021900048,SAS,POR,3,1,"OCT 28, 2019",1.0,1.0,122.0,2.0,52.0,25.5,6.0,6.0,15.0,18.5,0.345,0.667,0.6666666666666666,114.33333333333333,1.0,45.333333333333336,16.333333333333332,7.666666666666667,4.333333333333333,17.333333333333332,26.0,0.342,1519.71225631668,1510.5585142891052
0021900045,HOU,OKC,4,1,"OCT 28, 2019",0.5,0.5,118.5,0.0,51.0,26.0,6.5,5.0,16.5,23.5,0.311,0.333,0.3333333333333333,100.0,-1.0,49.0,17.666666666666668,6.666666666666667,5.0,18.0,22.333333333333332,0.35200000000000004,1499.7287935411387,1490.2960185560382
0021900041,DET,IND,2,1,"OCT 28, 2019",0.333,0.3333333333333333,110.0,-1.0,39.666666666666664,22.0,7.333333333333333,6.0,18.0,23.0,0.383,0.0,0.0,104.5,-2.0,36.0,24.5,7.5,4.5,16.0,27.5,0.369,1490.0082748727182,1480.0
0021900052,MIA,ATL,15,1,"OCT 29, 2019",0.667,0.6666666666666666,120.0,1.0,48.666666666666664,25.333333333333332,7.666666666666667,6.666666666666667,19.333333333333332,28.666666666666668,0.38999999999999996,0.667,0.6666666666666666,107.66666666666667,1.0,46.333333333333336,24.0,8.666666666666666,4.666666666666667,17.333333333333332,22.0,0.3293333333333333,1510.0,1510.2628981165583
0021900053,DEN,DAL,-3,0,"OCT 29, 2019",1.0,1.0,105.66666666666667,3.0,48.0,21.333333333333332,8.666666666666666,7.0,14.333333333333334,22.333333333333332,0.3666666666666667,0.667,0.6666666666666666,116.66666666666667,1.0,47.0,22.333333333333332,7.0,5.0,13.666666666666666,21.0,0.3053333333333333,1528.586488205103,1508.8664744330495
0021900054,LAL,MEM,29,1,"OCT 29, 2019",0.667,0.6666666666666666,105.66666666666667,1.0,43.333333333333336,23.0,8.333333333333334,8.0,13.666666666666666,22.333333333333332,0.35233333333333333,0.333,0.3333333333333333,112.33333333333333,-1.0,48.333333333333336,26.333333333333332,8.666666666666666,7.666666666666667,18.0,27.0,0.30833333333333335,1510.5584611379977,1490.5750112778453
0021900059,BKN,IND,-10,0,"OCT 30, 2019",0.333,0.3333333333333333,124.0,-1.0,49.0,22.666666666666668,8.333333333333334,5.333333333333333,19.666666666666668,26.0,0.40199999999999997,0.0,0.0,101.0,-3.0,39.0,24.333333333333332,8.666666666666666,4.333333333333333,13.0,24.333333333333332,0.3413333333333333,1489.4249887221547,1470.2879816559428
0021900065,GSW,PHX,-11,0,"OCT 30, 2019",0.333,0.3333333333333333,116.0,-1.0,47.333333333333336,27.0,9.333333333333334,1.3333333333333333,15.0,19.333333333333332,0.303,0.5,0.5,114.0,0.0,46.75,27.75,8.5,4.0,15.75,31.25,0.349,1489.728557044715,1500.5178186843584
0021900060,TOR,DET,12,1,"OCT 30, 2019",0.75,0.75,112.0,2.0,53.5,22.75,6.75,5.75,19.25,24.25,0.36575,0.5,0.5,106.5,0.0,41.75,21.75,6.0,5.25,18.5,21.75,0.42275,1519.1700946000403,1499.7202932167754
0021900062,OKC,POR,-3,0,"OCT 30, 2019",0.25,0.25,103.0,-2.0,49.75,18.75,6.75,4.5,16.75,23.5,0.35675,0.5,0.5,113.25,0.0,46.25,17.0,6.75,5.25,15.5,26.25,0.33225,1480.5674489565888,1500.821919219281
0021900055,CLE,CHI,6,1,"OCT 30, 2019",0.333,0.3333333333333333,102.33333333333333,-1.0,48.666666666666664,20.666666666666668,6.333333333333333,4.0,15.0,19.0,0.3093333333333333,0.25,0.25,104.25,-2.0,44.25,20.0,10.0,4.5,11.75,21.25,0.275,1490.0,1479.4258836917472
0021900058,BOS,MIL,11,1,"OCT 30, 2019",0.667,0.6666666666666666,107.66666666666667,1.0,47.666666666666664,21.0,9.333333333333334,6.333333333333333,10.333333333333334,25.0,0.3256666666666667,0.667,0.6666666666666666,124.0,1.0,50.0,27.333333333333332,8.0,7.0,13.666666666666666,24.666666666666668,0.36999999999999994,1509.9835061508386,1510.0
0021900056,ORL,NYK,12,1,"OCT 30, 2019",0.333,0.3333333333333333,96.0,-1.0,46.333333333333336,20.333333333333332,9.666666666666666,5.666666666666667,13.0,17.666666666666668,0.25633333333333336,0.25,0.25,105.0,-2.0,49.0,18.75,10.0,3.75,20.0,27.0,0.3955,1490.2797261890162,1481.1490712954119
0021900064,SAC,CHA,-7,0,"OCT 30, 2019",0.0,0.0,95.5,-4.0,42.25,18.75,6.5,4.5,18.0,22.5,0.33575,0.25,0.25,105.5,-2.0,41.5,24.25,5.25,4.0,18.25,22.5,0.39549999999999996,1461.9720260840022,1480.5665699219524
0021900061,WAS,HOU,-1,0,"OCT 30, 2019",0.333,0.3333333333333333,106.33333333333333,-1.0,45.0,25.666666666666668,6.0,5.666666666666667,14.666666666666666,22.666666666666668,0.3356666666666667,0.667,0.6666666666666666,117.66666666666667,1.0,47.333333333333336,24.333333333333332,6.333333333333333,5.333333333333333,15.666666666666666,23.666666666666668,0.283,1490.28774368332,1509.457363140588
0021900063,UTA,LAC,14,1,"OCT 30, 2019",0.75,0.75,98.75,2.0,45.25,20.25,6.5,3.25,19.25,26.0,0.34475,0.75,0.75,121.5,2.0,42.25,25.0,8.5,5.5,16.0,26.25,0.4065,1518.915412089561,1518.5954801937053
0021900057,PHI,MIN,22,1,"OCT 30, 2019",1.0,1.0,109.66666666666667,3.0,49.666666666666664,25.333333333333332,10.666666666666666,7.0,19.333333333333332,29.666666666666668,0.297,1.0,1.0,121.33333333333333,3.0,50.0,25.666666666666668,10.666666666666666,3.6666666666666665,14.666666666666666,20.0,0.30233333333333334,1529.7205450836693,1530.0
